label,scenario,cost_total,cost_run,cost_fc,cost_bat,term_penalty,eur_per_100km,m_h2_kg,e_bat_kWh,soc_final,soc_err,fc_ramp_mean,fc_onoff,cpu_ms
DP,default,2.71767,2.71725,0.853901,1.86335,0.000422371,5.83946,0.0776274,5.15315,0.24935,-0.000649901,395.873,85,0.0162044
A-ECMS,default,2.78344,2.72356,0.882893,1.84067,0.0598725,5.85303,0.080263,5.08672,0.257738,0.00773773,653.889,154,0.207768
A-ECMS+BLFS,default,2.79479,2.72804,0.88881,1.83923,0.0667499,5.86265,0.0808009,5.08329,0.25817,0.00817006,306.111,54,0.253851
MPC,default,2.74618,2.72311,0.874742,1.84837,0.0230759,5.85205,0.079522,5.10995,0.254804,0.00480374,352.222,64,0.590826
MPC+BLFS,default,2.75159,2.72796,0.879676,1.84829,0.023628,5.86248,0.0799705,5.1095,0.254861,0.00486086,280.556,50,0.596218
DP,high,3.20349,3.20296,1.07312,2.12984,0.000532198,6.88327,0.0774817,5.15378,0.24927,-0.000729519,375.882,83,0.0155786
A-ECMS,high,3.24152,3.20929,1.09917,2.11013,0.0322277,6.89688,0.0793623,5.10304,0.255677,0.00567694,500.556,114,0.204415
A-ECMS+BLFS,high,3.25108,3.21429,1.10568,2.10861,0.0367862,6.90762,0.0798327,5.09996,0.256065,0.00606516,266.667,46,0.227091
MPC,high,3.22761,3.21183,1.09675,2.11508,0.0157793,6.90232,0.0791879,5.11654,0.253972,0.00397232,347.778,62,0.585918
MPC+BLFS,high,3.22967,3.21648,1.10032,2.11617,0.0131829,6.91233,0.0794454,5.11924,0.253631,0.00363083,266.667,44,0.603165
DP,low,2.32511,2.32486,0.621628,1.70323,0.000256045,4.9962,0.0777036,5.15201,0.249494,-0.000506008,411.418,95,0.0166323
A-ECMS,low,2.4309,2.32742,0.650705,1.67671,0.103484,5.00169,0.0813381,5.06743,0.260173,0.0101727,836.111,196,0.208754
A-ECMS+BLFS,low,2.44501,2.33128,0.656007,1.67527,0.11373,5.00999,0.0820008,5.06354,0.260664,0.0106644,382.222,70,0.222206
MPC,low,2.3614,2.32679,0.639606,1.68718,0.0346085,5.00035,0.0799507,5.10141,0.255883,0.0058829,344.444,60,0.582027
MPC+BLFS,low,2.36047,2.32997,0.641846,1.68812,0.030502,5.00718,0.0802308,5.10426,0.255523,0.00552286,278.889,40,0.598484
